note,note_clean,type,type_token,amount,date_time,category,model_text_textonly,model_text_with_type
Pita Palace - Kiosk,pita palace - kiosk,Expense,[TYPE_EXPENSE],9.0,2026-12-14 13:05:00.000,Food & Drinks,pita palace - kiosk,[TYPE_EXPENSE] pita palace - kiosk
Cedar Café,cedar café,Expense,[TYPE_EXPENSE],21.0,2026-12-15 19:30:00.000,Food & Drinks,cedar café,[TYPE_EXPENSE] cedar café
Café Younes - Hamra,café younes - hamra,Expense,[TYPE_EXPENSE],18.0,2026-08-14 09:15:00.000,Food & Drinks,café younes - hamra,[TYPE_EXPENSE] café younes - hamra
Al Falamanki - Rooftop,al falamanki - rooftop,Expense,[TYPE_EXPENSE],22.5,2026-08-14 20:05:00.000,Food & Drinks,al falamanki - rooftop,[TYPE_EXPENSE] al falamanki - rooftop
Chez Maguy - Beirut,chez maguy - beirut,Expense,[TYPE_EXPENSE],19.0,2026-08-15 19:30:00.000,Food & Drinks,chez maguy - beirut,[TYPE_EXPENSE] chez maguy - beirut
Babel Bay Restaurant,babel bay restaurant,Expense,[TYPE_EXPENSE],34.0,2026-08-15 20:10:00.000,Food & Drinks,babel bay restaurant,[TYPE_EXPENSE] babel bay restaurant
T Marbouta Bakery,t marbouta bakery,Expense,[TYPE_EXPENSE],16.5,2026-08-16 13:00:00.000,Food & Drinks,t marbouta bakery,[TYPE_EXPENSE] t marbouta bakery
Kababji Express,kababji express,Expense,[TYPE_EXPENSE],12.0,2026-08-16 18:45:00.000,Food & Drinks,kababji express,[TYPE_EXPENSE] kababji express
Al Mandaloun - Jounieh,al mandaloun - jounieh,Expense,[TYPE_EXPENSE],22.0,2026-08-17 20:20:00.000,Food & Drinks,al mandaloun - jounieh,[TYPE_EXPENSE] al mandaloun - jounieh
Ferdinand Café,ferdinand café,Expense,[TYPE_EXPENSE],14.0,2026-08-17 19:00:00.000,Food & Drinks,ferdinand café,[TYPE_EXPENSE] ferdinand café
Bistro Bar - Downtown,bistro bar - downtown,Expense,[TYPE_EXPENSE],11.5,2026-08-18 12:30:00.000,Food & Drinks,bistro bar - downtown,[TYPE_EXPENSE] bistro bar - downtown
Roadster Diner - Branch,roadster diner - branch,Expense,[TYPE_EXPENSE],9.75,2026-08-18 13:10:00.000,Food & Drinks,roadster diner - branch,[TYPE_EXPENSE] roadster diner - branch
Al Halabi - Restaurant,al halabi - restaurant,Expense,[TYPE_EXPENSE],26.0,2026-08-30 20:10:00.000,Food & Drinks,al halabi - restaurant,[TYPE_EXPENSE] al halabi - restaurant
Cafe Yammouni - Coffee,cafe yammouni - coffee,Expense,[TYPE_EXPENSE],13.0,2026-08-31 09:45:00.000,Food & Drinks,cafe yammouni - coffee,[TYPE_EXPENSE] cafe yammouni - coffee
Babel Restaurant - Downtown,babel restaurant - downtown,Expense,[TYPE_EXPENSE],20.0,2026-08-31 19:50:00.000,Food & Drinks,babel restaurant - downtown,[TYPE_EXPENSE] babel restaurant - downtown
Fouad's Kitchen - Meal,fouad s kitchen - meal,Expense,[TYPE_EXPENSE],17.5,2026-09-01 13:20:00.000,Food & Drinks,fouad s kitchen - meal,[TYPE_EXPENSE] fouad s kitchen - meal
Al Falamanki - Meal,al falamanki - meal,Expense,[TYPE_EXPENSE],24.0,2026-09-05 20:05:00.000,Food & Drinks,al falamanki - meal,[TYPE_EXPENSE] al falamanki - meal
Paul Bakery - Pastries,paul bakery - pastries,Expense,[TYPE_EXPENSE],10.5,2026-09-06 09:20:00.000,Food & Drinks,paul bakery - pastries,[TYPE_EXPENSE] paul bakery - pastries
Mayrig - Dinner,mayrig - dinner,Expense,[TYPE_EXPENSE],29.0,2026-09-07 20:30:00.000,Food & Drinks,mayrig - dinner,[TYPE_EXPENSE] mayrig - dinner
Barbar - Snack,barbar - snack,Expense,[TYPE_EXPENSE],8.5,2026-09-11 13:05:00.000,Food & Drinks,barbar - snack,[TYPE_EXPENSE] barbar - snack
Liza - Dinner,liza - dinner,Expense,[TYPE_EXPENSE],21.5,2026-09-13 20:00:00.000,Food & Drinks,liza - dinner,[TYPE_EXPENSE] liza - dinner
Zaatar w Zeit - Lunch,zaatar w zeit - lunch,Expense,[TYPE_EXPENSE],12.75,2026-09-14 12:45:00.000,Food & Drinks,zaatar w zeit - lunch,[TYPE_EXPENSE] zaatar w zeit - lunch
Mayrig - Branch Meal,mayrig - branch meal,Expense,[TYPE_EXPENSE],32.0,2026-09-16 20:10:00.000,Food & Drinks,mayrig - branch meal,[TYPE_EXPENSE] mayrig - branch meal
Al Sultan Brahim - Dinner,al sultan brahim - dinner,Expense,[TYPE_EXPENSE],26.0,2026-09-17 19:45:00.000,Food & Drinks,al sultan brahim - dinner,[TYPE_EXPENSE] al sultan brahim - dinner
Tawlet - Lunch,tawlet - lunch,Expense,[TYPE_EXPENSE],14.5,2026-09-20 13:30:00.000,Food & Drinks,tawlet - lunch,[TYPE_EXPENSE] tawlet - lunch
Centrale - Dinner,centrale - dinner,Expense,[TYPE_EXPENSE],19.0,2026-09-22 20:00:00.000,Food & Drinks,centrale - dinner,[TYPE_EXPENSE] centrale - dinner
Paul Bakery - Coffee,paul bakery - coffee,Expense,[TYPE_EXPENSE],11.0,2026-09-25 09:30:00.000,Food & Drinks,paul bakery - coffee,[TYPE_EXPENSE] paul bakery - coffee
Mayrig - Family Meal,mayrig - family meal,Expense,[TYPE_EXPENSE],32.0,2026-09-27 20:10:00.000,Food & Drinks,mayrig - family meal,[TYPE_EXPENSE] mayrig - family meal
Al Sultan Brahim - Seafood Meal,al sultan brahim - seafood meal,Expense,[TYPE_EXPENSE],26.0,2026-09-28 19:45:00.000,Food & Drinks,al sultan brahim - seafood meal,[TYPE_EXPENSE] al sultan brahim - seafood meal
Tawlet - Meal,tawlet - meal,Expense,[TYPE_EXPENSE],14.5,2026-10-01 13:30:00.000,Food & Drinks,tawlet - meal,[TYPE_EXPENSE] tawlet - meal
Centrale - Branch Meal,centrale - branch meal,Expense,[TYPE_EXPENSE],19.0,2026-10-03 20:00:00.000,Food & Drinks,centrale - branch meal,[TYPE_EXPENSE] centrale - branch meal
Paul Bakery - Pastry,paul bakery - pastry,Expense,[TYPE_EXPENSE],11.0,2026-10-06 09:30:00.000,Food & Drinks,paul bakery - pastry,[TYPE_EXPENSE] paul bakery - pastry
Mayrig - Dinner Meal,mayrig - dinner meal,Expense,[TYPE_EXPENSE],32.0,2026-10-08 20:10:00.000,Food & Drinks,mayrig - dinner meal,[TYPE_EXPENSE] mayrig - dinner meal
Al Sultan Brahim - Branch Meal,al sultan brahim - branch meal,Expense,[TYPE_EXPENSE],26.0,2026-10-09 19:45:00.000,Food & Drinks,al sultan brahim - branch meal,[TYPE_EXPENSE] al sultan brahim - branch meal
Tawlet - Local Meal,tawlet - local meal,Expense,[TYPE_EXPENSE],14.5,2026-10-12 13:30:00.000,Food & Drinks,tawlet - local meal,[TYPE_EXPENSE] tawlet - local meal
Centrale - Dinner Branch,centrale - dinner branch,Expense,[TYPE_EXPENSE],19.0,2026-10-14 20:00:00.000,Food & Drinks,centrale - dinner branch,[TYPE_EXPENSE] centrale - dinner branch
Paul Bakery - Morning,paul bakery - morning,Expense,[TYPE_EXPENSE],11.0,2026-10-17 09:30:00.000,Food & Drinks,paul bakery - morning,[TYPE_EXPENSE] paul bakery - morning
Mayrig - Family Dinner,mayrig - family dinner,Expense,[TYPE_EXPENSE],32.0,2026-10-19 20:10:00.000,Food & Drinks,mayrig - family dinner,[TYPE_EXPENSE] mayrig - family dinner
Al Sultan Brahim - Seafood,al sultan brahim - seafood,Expense,[TYPE_EXPENSE],26.0,2026-10-20 19:45:00.000,Food & Drinks,al sultan brahim - seafood,[TYPE_EXPENSE] al sultan brahim - seafood
Café Yara,café yara,Expense,[TYPE_EXPENSE],12.5,2027-02-26 08:00:00.000,Food & Drinks,café yara,[TYPE_EXPENSE] café yara
Beirut Bites,beirut bites,Expense,[TYPE_EXPENSE],18.75,2027-02-26 19:10:00.000,Food & Drinks,beirut bites,[TYPE_EXPENSE] beirut bites
Zaatar House,zaatar house,Expense,[TYPE_EXPENSE],9.0,2027-02-27 11:30:00.000,Food & Drinks,zaatar house,[TYPE_EXPENSE] zaatar house
Olive Press Bistro,olive press bistro,Expense,[TYPE_EXPENSE],22.0,2027-02-27 20:05:00.000,Food & Drinks,olive press bistro,[TYPE_EXPENSE] olive press bistro
Maison du Pain,maison du pain,Expense,[TYPE_EXPENSE],7.5,2027-02-28 09:15:00.000,Food & Drinks,maison du pain,[TYPE_EXPENSE] maison du pain
Le Comptoir,le comptoir,Expense,[TYPE_EXPENSE],16.0,2027-02-28 19:45:00.000,Food & Drinks,le comptoir,[TYPE_EXPENSE] le comptoir
Sultan's Feast,sultan s feast,Expense,[TYPE_EXPENSE],14.25,2027-03-01 20:10:00.000,Food & Drinks,sultan s feast,[TYPE_EXPENSE] sultan s feast
Marina Deli,marina deli,Expense,[TYPE_EXPENSE],8.9,2027-03-02 13:05:00.000,Food & Drinks,marina deli,[TYPE_EXPENSE] marina deli
Corniche Café,corniche café,Expense,[TYPE_EXPENSE],11.75,2027-03-03 09:20:00.000,Food & Drinks,corniche café,[TYPE_EXPENSE] corniche café
Hamra Grill,hamra grill,Expense,[TYPE_EXPENSE],20.0,2027-03-03 19:30:00.000,Food & Drinks,hamra grill,[TYPE_EXPENSE] hamra grill
Seaside Diner,seaside diner,Expense,[TYPE_EXPENSE],13.5,2027-03-05 12:40:00.000,Food & Drinks,seaside diner,[TYPE_EXPENSE] seaside diner
Pigeon House Snacks,pigeon house snacks,Expense,[TYPE_EXPENSE],6.75,2027-03-06 10:05:00.000,Food & Drinks,pigeon house snacks,[TYPE_EXPENSE] pigeon house snacks
The Roastery,the roastery,Expense,[TYPE_EXPENSE],15.0,2027-03-06 09:30:00.000,Food & Drinks,the roastery,[TYPE_EXPENSE] the roastery
Green Spoon,green spoon,Expense,[TYPE_EXPENSE],17.25,2027-03-07 19:10:00.000,Food & Drinks,green spoon,[TYPE_EXPENSE] green spoon
Noura's Kitchen,noura s kitchen,Expense,[TYPE_EXPENSE],21.0,2027-03-08 20:00:00.000,Food & Drinks,noura s kitchen,[TYPE_EXPENSE] noura s kitchen
The Green Table,the green table,Expense,[TYPE_EXPENSE],13.0,2027-04-02 19:20:00.000,Food & Drinks,the green table,[TYPE_EXPENSE] the green table
Snack & Go Corner,snack & go corner,Expense,[TYPE_EXPENSE],7.9,2027-04-03 11:00:00.000,Food & Drinks,snack & go corner,[TYPE_EXPENSE] snack & go corner
Harbour Grill Bistro,harbour grill bistro,Expense,[TYPE_EXPENSE],31.0,2027-04-06 20:25:00.000,Food & Drinks,harbour grill bistro,[TYPE_EXPENSE] harbour grill bistro
Olive Tree Bistro,olive tree bistro,Expense,[TYPE_EXPENSE],18.75,2027-04-13 19:40:00.000,Food & Drinks,olive tree bistro,[TYPE_EXPENSE] olive tree bistro
The Lebanese Spoon,the lebanese spoon,Expense,[TYPE_EXPENSE],22.5,2027-04-18 20:10:00.000,Food & Drinks,the lebanese spoon,[TYPE_EXPENSE] the lebanese spoon
Corner Café,corner café,Expense,[TYPE_EXPENSE],12.25,2027-04-19 09:30:00.000,Food & Drinks,corner café,[TYPE_EXPENSE] corner café
Bistro 21 Lunch,bistro 21 lunch,Expense,[TYPE_EXPENSE],15.0,2027-04-27 19:05:00.000,Food & Drinks,bistro 21 lunch,[TYPE_EXPENSE] bistro 21 lunch
Morning Roast Coffee,morning roast coffee,Expense,[TYPE_EXPENSE],10.75,2027-04-30 08:50:00.000,Food & Drinks,morning roast coffee,[TYPE_EXPENSE] morning roast coffee
Seaside Café Lunch,seaside café lunch,Expense,[TYPE_EXPENSE],20.25,2027-05-07 19:50:00.000,Food & Drinks,seaside café lunch,[TYPE_EXPENSE] seaside café lunch
Olive & Lemon Bistro,olive & lemon bistro,Expense,[TYPE_EXPENSE],17.8,2027-05-12 19:10:00.000,Food & Drinks,olive & lemon bistro,[TYPE_EXPENSE] olive & lemon bistro
The Green Plate Lunch,the green plate lunch,Expense,[TYPE_EXPENSE],13.6,2027-05-19 12:00:00.000,Food & Drinks,the green plate lunch,[TYPE_EXPENSE] the green plate lunch
Harbour Grill Dinner,harbour grill dinner,Expense,[TYPE_EXPENSE],26.5,2027-05-22 20:20:00.000,Food & Drinks,harbour grill dinner,[TYPE_EXPENSE] harbour grill dinner
Quick Bites Snack,quick bites snack,Expense,[TYPE_EXPENSE],9.25,2027-05-29 11:10:00.000,Food & Drinks,quick bites snack,[TYPE_EXPENSE] quick bites snack
Café du Parc,café du parc,Expense,[TYPE_EXPENSE],18.0,2027-06-03 11:50:00.000,Food & Drinks,café du parc,[TYPE_EXPENSE] café du parc
Baker's Corner,baker s corner,Expense,[TYPE_EXPENSE],12.0,2027-06-04 08:40:00.000,Food & Drinks,baker s corner,[TYPE_EXPENSE] baker s corner
The Olive Room,the olive room,Expense,[TYPE_EXPENSE],22.25,2027-06-07 19:45:00.000,Food & Drinks,the olive room,[TYPE_EXPENSE] the olive room
Cedar & Spice Café,cedar & spice café,Expense,[TYPE_EXPENSE],19.0,2027-06-12 20:05:00.000,Food & Drinks,cedar & spice café,[TYPE_EXPENSE] cedar & spice café
Quick Café - Morning,quick café - morning,Expense,[TYPE_EXPENSE],8.5,2027-06-13 08:55:00.000,Food & Drinks,quick café - morning,[TYPE_EXPENSE] quick café - morning
The Olive Room - Dinner,the olive room - dinner,Expense,[TYPE_EXPENSE],22.25,2027-06-21 19:45:00.000,Food & Drinks,the olive room - dinner,[TYPE_EXPENSE] the olive room - dinner
Seaside Grill,seaside grill,Expense,[TYPE_EXPENSE],26.0,2027-06-24 20:10:00.000,Food & Drinks,seaside grill,[TYPE_EXPENSE] seaside grill
Café Younes - Hamra,café younes - hamra,Expense,[TYPE_EXPENSE],18.5,2027-07-01 09:15:00.000,Food & Drinks,café younes - hamra,[TYPE_EXPENSE] café younes - hamra
Al Falamanki - Rooftop,al falamanki - rooftop,Expense,[TYPE_EXPENSE],22.0,2027-07-01 20:05:00.000,Food & Drinks,al falamanki - rooftop,[TYPE_EXPENSE] al falamanki - rooftop
Chez Maguy - Beirut,chez maguy - beirut,Expense,[TYPE_EXPENSE],19.0,2027-07-02 19:30:00.000,Food & Drinks,chez maguy - beirut,[TYPE_EXPENSE] chez maguy - beirut
Babel Bay Restaurant,babel bay restaurant,Expense,[TYPE_EXPENSE],14.75,2027-07-02 20:10:00.000,Food & Drinks,babel bay restaurant,[TYPE_EXPENSE] babel bay restaurant
T Marbouta Bakery,t marbouta bakery,Expense,[TYPE_EXPENSE],16.5,2027-07-03 13:00:00.000,Food & Drinks,t marbouta bakery,[TYPE_EXPENSE] t marbouta bakery
Kababji Express,kababji express,Expense,[TYPE_EXPENSE],12.0,2027-07-03 18:45:00.000,Food & Drinks,kababji express,[TYPE_EXPENSE] kababji express
Al Mandaloun - Jounieh,al mandaloun - jounieh,Expense,[TYPE_EXPENSE],22.0,2027-07-04 20:20:00.000,Food & Drinks,al mandaloun - jounieh,[TYPE_EXPENSE] al mandaloun - jounieh
Ferdinand Café,ferdinand café,Expense,[TYPE_EXPENSE],14.0,2027-07-04 19:00:00.000,Food & Drinks,ferdinand café,[TYPE_EXPENSE] ferdinand café
Bistro Bar - Downtown,bistro bar - downtown,Expense,[TYPE_EXPENSE],11.5,2027-07-05 12:30:00.000,Food & Drinks,bistro bar - downtown,[TYPE_EXPENSE] bistro bar - downtown
Roadster Diner - Branch,roadster diner - branch,Expense,[TYPE_EXPENSE],9.75,2027-07-05 13:10:00.000,Food & Drinks,roadster diner - branch,[TYPE_EXPENSE] roadster diner - branch
Al Halabi - Restaurant,al halabi - restaurant,Expense,[TYPE_EXPENSE],26.0,2027-07-17 20:10:00.000,Food & Drinks,al halabi - restaurant,[TYPE_EXPENSE] al halabi - restaurant
Cafe Yammouni - Coffee,cafe yammouni - coffee,Expense,[TYPE_EXPENSE],13.0,2027-07-18 09:45:00.000,Food & Drinks,cafe yammouni - coffee,[TYPE_EXPENSE] cafe yammouni - coffee
Babel Restaurant - Downtown,babel restaurant - downtown,Expense,[TYPE_EXPENSE],20.0,2027-07-18 19:50:00.000,Food & Drinks,babel restaurant - downtown,[TYPE_EXPENSE] babel restaurant - downtown
Fouad's Kitchen - Meal,fouad s kitchen - meal,Expense,[TYPE_EXPENSE],17.5,2027-07-19 13:20:00.000,Food & Drinks,fouad s kitchen - meal,[TYPE_EXPENSE] fouad s kitchen - meal
Al Falamanki - Meal,al falamanki - meal,Expense,[TYPE_EXPENSE],24.0,2027-07-23 20:05:00.000,Food & Drinks,al falamanki - meal,[TYPE_EXPENSE] al falamanki - meal
Paul Bakery - Pastries,paul bakery - pastries,Expense,[TYPE_EXPENSE],10.5,2027-07-24 09:20:00.000,Food & Drinks,paul bakery - pastries,[TYPE_EXPENSE] paul bakery - pastries
Mayrig - Dinner,mayrig - dinner,Expense,[TYPE_EXPENSE],29.0,2027-07-25 20:30:00.000,Food & Drinks,mayrig - dinner,[TYPE_EXPENSE] mayrig - dinner
Barbar - Snack,barbar - snack,Expense,[TYPE_EXPENSE],8.5,2027-07-29 13:05:00.000,Food & Drinks,barbar - snack,[TYPE_EXPENSE] barbar - snack
Liza - Dinner,liza - dinner,Expense,[TYPE_EXPENSE],21.5,2027-07-31 20:00:00.000,Food & Drinks,liza - dinner,[TYPE_EXPENSE] liza - dinner
Zaatar w Zeit - Lunch,zaatar w zeit - lunch,Expense,[TYPE_EXPENSE],12.75,2027-08-01 12:45:00.000,Food & Drinks,zaatar w zeit - lunch,[TYPE_EXPENSE] zaatar w zeit - lunch
Mayrig - Branch Meal,mayrig - branch meal,Expense,[TYPE_EXPENSE],32.0,2027-08-03 20:10:00.000,Food & Drinks,mayrig - branch meal,[TYPE_EXPENSE] mayrig - branch meal
Al Sultan Brahim - Dinner,al sultan brahim - dinner,Expense,[TYPE_EXPENSE],26.0,2027-08-04 19:45:00.000,Food & Drinks,al sultan brahim - dinner,[TYPE_EXPENSE] al sultan brahim - dinner
Tawlet - Lunch,tawlet - lunch,Expense,[TYPE_EXPENSE],14.5,2027-08-07 13:30:00.000,Food & Drinks,tawlet - lunch,[TYPE_EXPENSE] tawlet - lunch
Centrale - Dinner,centrale - dinner,Expense,[TYPE_EXPENSE],19.0,2027-08-09 20:00:00.000,Food & Drinks,centrale - dinner,[TYPE_EXPENSE] centrale - dinner
Paul Bakery - Coffee,paul bakery - coffee,Expense,[TYPE_EXPENSE],11.0,2027-08-12 09:30:00.000,Food & Drinks,paul bakery - coffee,[TYPE_EXPENSE] paul bakery - coffee
Mayrig - Family Meal,mayrig - family meal,Expense,[TYPE_EXPENSE],32.0,2027-08-14 20:10:00.000,Food & Drinks,mayrig - family meal,[TYPE_EXPENSE] mayrig - family meal
Al Sultan Brahim - Seafood Meal,al sultan brahim - seafood meal,Expense,[TYPE_EXPENSE],26.0,2027-08-15 19:45:00.000,Food & Drinks,al sultan brahim - seafood meal,[TYPE_EXPENSE] al sultan brahim - seafood meal
Tawlet - Local Meal,tawlet - local meal,Expense,[TYPE_EXPENSE],14.5,2027-08-18 13:30:00.000,Food & Drinks,tawlet - local meal,[TYPE_EXPENSE] tawlet - local meal
Centrale - Branch Meal,centrale - branch meal,Expense,[TYPE_EXPENSE],19.0,2027-08-20 20:00:00.000,Food & Drinks,centrale - branch meal,[TYPE_EXPENSE] centrale - branch meal
Paul Bakery - Pastry,paul bakery - pastry,Expense,[TYPE_EXPENSE],11.0,2027-08-23 09:30:00.000,Food & Drinks,paul bakery - pastry,[TYPE_EXPENSE] paul bakery - pastry
Mayrig - Dinner Meal,mayrig - dinner meal,Expense,[TYPE_EXPENSE],32.0,2027-08-25 20:10:00.000,Food & Drinks,mayrig - dinner meal,[TYPE_EXPENSE] mayrig - dinner meal
Al Sultan Brahim - Branch Meal,al sultan brahim - branch meal,Expense,[TYPE_EXPENSE],26.0,2027-08-26 19:45:00.000,Food & Drinks,al sultan brahim - branch meal,[TYPE_EXPENSE] al sultan brahim - branch meal
Tawlet - Local Meal,tawlet - local meal,Expense,[TYPE_EXPENSE],14.5,2027-08-29 13:30:00.000,Food & Drinks,tawlet - local meal,[TYPE_EXPENSE] tawlet - local meal
Centrale - Dinner Branch,centrale - dinner branch,Expense,[TYPE_EXPENSE],19.0,2027-08-31 20:00:00.000,Food & Drinks,centrale - dinner branch,[TYPE_EXPENSE] centrale - dinner branch
Paul Bakery - Morning,paul bakery - morning,Expense,[TYPE_EXPENSE],11.0,2027-09-03 09:30:00.000,Food & Drinks,paul bakery - morning,[TYPE_EXPENSE] paul bakery - morning
Mayrig - Family Dinner,mayrig - family dinner,Expense,[TYPE_EXPENSE],32.0,2027-09-05 20:10:00.000,Food & Drinks,mayrig - family dinner,[TYPE_EXPENSE] mayrig - family dinner
Al Sultan Brahim - Seafood,al sultan brahim - seafood,Expense,[TYPE_EXPENSE],26.0,2027-09-06 19:45:00.000,Food & Drinks,al sultan brahim - seafood,[TYPE_EXPENSE] al sultan brahim - seafood
Café Lumiere,café lumiere,Expense,[TYPE_EXPENSE],12.5,2027-09-09 08:15:00.000,Food & Drinks,café lumiere,[TYPE_EXPENSE] café lumiere
Beirut Bites,beirut bites,Expense,[TYPE_EXPENSE],18.75,2027-09-09 19:10:00.000,Food & Drinks,beirut bites,[TYPE_EXPENSE] beirut bites
Zaatar House,zaatar house,Expense,[TYPE_EXPENSE],9.0,2027-09-10 11:30:00.000,Food & Drinks,zaatar house,[TYPE_EXPENSE] zaatar house
Olive Press Bistro,olive press bistro,Expense,[TYPE_EXPENSE],22.0,2027-09-10 20:05:00.000,Food & Drinks,olive press bistro,[TYPE_EXPENSE] olive press bistro
Maison du Pain,maison du pain,Expense,[TYPE_EXPENSE],7.5,2027-09-11 09:15:00.000,Food & Drinks,maison du pain,[TYPE_EXPENSE] maison du pain
Le Comptoir,le comptoir,Expense,[TYPE_EXPENSE],16.0,2027-09-11 19:45:00.000,Food & Drinks,le comptoir,[TYPE_EXPENSE] le comptoir
Sultan's Feast,sultan s feast,Expense,[TYPE_EXPENSE],14.25,2027-09-12 20:10:00.000,Food & Drinks,sultan s feast,[TYPE_EXPENSE] sultan s feast
Marina Deli,marina deli,Expense,[TYPE_EXPENSE],8.9,2027-09-12 13:05:00.000,Food & Drinks,marina deli,[TYPE_EXPENSE] marina deli
Corniche Café,corniche café,Expense,[TYPE_EXPENSE],11.75,2027-09-13 09:20:00.000,Food & Drinks,corniche café,[TYPE_EXPENSE] corniche café
Hamra Grill,hamra grill,Expense,[TYPE_EXPENSE],20.0,2027-09-13 19:30:00.000,Food & Drinks,hamra grill,[TYPE_EXPENSE] hamra grill
Seaside Diner,seaside diner,Expense,[TYPE_EXPENSE],13.5,2027-09-14 12:40:00.000,Food & Drinks,seaside diner,[TYPE_EXPENSE] seaside diner
Pigeon House Snacks,pigeon house snacks,Expense,[TYPE_EXPENSE],6.75,2027-09-15 10:05:00.000,Food & Drinks,pigeon house snacks,[TYPE_EXPENSE] pigeon house snacks
The Roastery,the roastery,Expense,[TYPE_EXPENSE],15.0,2027-09-15 09:30:00.000,Food & Drinks,the roastery,[TYPE_EXPENSE] the roastery
Green Spoon,green spoon,Expense,[TYPE_EXPENSE],17.25,2027-09-16 19:10:00.000,Food & Drinks,green spoon,[TYPE_EXPENSE] green spoon
Noura's Kitchen,noura s kitchen,Expense,[TYPE_EXPENSE],21.0,2027-09-16 20:00:00.000,Food & Drinks,noura s kitchen,[TYPE_EXPENSE] noura s kitchen
The Green Table,the green table,Expense,[TYPE_EXPENSE],13.0,2027-09-30 19:20:00.000,Food & Drinks,the green table,[TYPE_EXPENSE] the green table
Snack & Go Corner,snack & go corner,Expense,[TYPE_EXPENSE],7.9,2027-10-01 11:00:00.000,Food & Drinks,snack & go corner,[TYPE_EXPENSE] snack & go corner
Harbour Grill Bistro,harbour grill bistro,Expense,[TYPE_EXPENSE],31.0,2027-10-02 20:25:00.000,Food & Drinks,harbour grill bistro,[TYPE_EXPENSE] harbour grill bistro
Olive Tree Bistro,olive tree bistro,Expense,[TYPE_EXPENSE],18.75,2027-10-06 19:40:00.000,Food & Drinks,olive tree bistro,[TYPE_EXPENSE] olive tree bistro
The Lebanese Spoon,the lebanese spoon,Expense,[TYPE_EXPENSE],22.5,2027-10-08 20:10:00.000,Food & Drinks,the lebanese spoon,[TYPE_EXPENSE] the lebanese spoon
Corner Café,corner café,Expense,[TYPE_EXPENSE],12.25,2027-10-09 09:30:00.000,Food & Drinks,corner café,[TYPE_EXPENSE] corner café
Bistro 21 Lunch,bistro 21 lunch,Expense,[TYPE_EXPENSE],15.0,2027-10-13 19:05:00.000,Food & Drinks,bistro 21 lunch,[TYPE_EXPENSE] bistro 21 lunch
Morning Roast Coffee,morning roast coffee,Expense,[TYPE_EXPENSE],10.75,2027-10-14 08:50:00.000,Food & Drinks,morning roast coffee,[TYPE_EXPENSE] morning roast coffee
Seaside Café Lunch,seaside café lunch,Expense,[TYPE_EXPENSE],20.25,2027-10-18 19:50:00.000,Food & Drinks,seaside café lunch,[TYPE_EXPENSE] seaside café lunch
Olive & Lemon Bistro,olive & lemon bistro,Expense,[TYPE_EXPENSE],17.8,2027-10-20 19:10:00.000,Food & Drinks,olive & lemon bistro,[TYPE_EXPENSE] olive & lemon bistro
The Green Plate Lunch,the green plate lunch,Expense,[TYPE_EXPENSE],13.6,2027-10-24 12:00:00.000,Food & Drinks,the green plate lunch,[TYPE_EXPENSE] the green plate lunch
Harbour Grill Dinner,harbour grill dinner,Expense,[TYPE_EXPENSE],26.5,2027-10-25 20:20:00.000,Food & Drinks,harbour grill dinner,[TYPE_EXPENSE] harbour grill dinner
Quick Bites Snack,quick bites snack,Expense,[TYPE_EXPENSE],9.25,2027-10-29 11:10:00.000,Food & Drinks,quick bites snack,[TYPE_EXPENSE] quick bites snack
Café du Parc,café du parc,Expense,[TYPE_EXPENSE],18.0,2027-10-31 11:50:00.000,Food & Drinks,café du parc,[TYPE_EXPENSE] café du parc
Baker's Corner,baker s corner,Expense,[TYPE_EXPENSE],12.0,2027-11-01 08:40:00.000,Food & Drinks,baker s corner,[TYPE_EXPENSE] baker s corner
The Olive Room,the olive room,Expense,[TYPE_EXPENSE],22.25,2027-11-02 19:45:00.000,Food & Drinks,the olive room,[TYPE_EXPENSE] the olive room
Cedar & Spice Café,cedar & spice café,Expense,[TYPE_EXPENSE],19.0,2027-11-05 20:05:00.000,Food & Drinks,cedar & spice café,[TYPE_EXPENSE] cedar & spice café
Quick Café - Morning,quick café - morning,Expense,[TYPE_EXPENSE],8.5,2027-11-06 08:55:00.000,Food & Drinks,quick café - morning,[TYPE_EXPENSE] quick café - morning
The Olive Room - Dinner,the olive room - dinner,Expense,[TYPE_EXPENSE],22.25,2027-11-10 19:45:00.000,Food & Drinks,the olive room - dinner,[TYPE_EXPENSE] the olive room - dinner
Seaside Grill,seaside grill,Expense,[TYPE_EXPENSE],26.0,2027-11-11 20:10:00.000,Food & Drinks,seaside grill,[TYPE_EXPENSE] seaside grill
Café Yara,café yara,Expense,[TYPE_EXPENSE],12.0,2027-11-15 08:00:00.000,Food & Drinks,café yara,[TYPE_EXPENSE] café yara
Beirut Bites - Branch,beirut bites - branch,Expense,[TYPE_EXPENSE],18.75,2027-11-15 19:10:00.000,Food & Drinks,beirut bites - branch,[TYPE_EXPENSE] beirut bites - branch
Zaatar House - Kiosk,zaatar house - kiosk,Expense,[TYPE_EXPENSE],9.0,2027-11-16 11:30:00.000,Food & Drinks,zaatar house - kiosk,[TYPE_EXPENSE] zaatar house - kiosk
Olive Press Bistro - Meal,olive press bistro - meal,Expense,[TYPE_EXPENSE],22.0,2027-11-16 20:05:00.000,Food & Drinks,olive press bistro - meal,[TYPE_EXPENSE] olive press bistro - meal
